# emoji	category	en keywords	bn keywords	parent	name
😓	smileys	close,cold,downcast,face,feels,headache,nervous,sad,scared,sweat,yikes,downcast face with sweat,with,tired,stressed	ঘর্মাক্ত অবস্থা,ঠান্ডা,মুখ,মুখের মধ্যে ঠাণ্ডা ঘাম লাগা,ক্লান্ত,ঘাম		downcast face with sweat
😩	smileys	crying,face,fail,feels,hungry,mad,nooo,sad,sleepy,tired,unhappy,weary,weary face,exhausted,fed up	অসুখী,ক্লান্ত,ক্লান্ত হওয়া,ক্ষুধার্ত,খিদে পেয়েছে,নাহ,পরিশ্রান্ত,ভয় পেয়েছে,মুখ,পরিশ্রান্ত মুখ,হয়রান		weary face
😫	smileys	cost,face,feels,nap,sad,sneeze,tired,tired face,exhausted,fed up,upset	ক্লান্ত,মুখ,ক্লান্ত মুখ		tired face
🥱	smileys	bedtime,bored,face,goodnight,nap,night,sleep,sleepy,tired,whatever,yawn,yawning,zzz,yawning face	উদাস,ক্লান্ত,ক্লান্ত লাগছে,ঘুম পাচ্ছে,মুখ,রাত হয়েছে,শুভরাত্রি,হাই তোলা,হাই তোলা মুখ,হাই,ঘুম		yawning face
😤	smileys	anger,angry,face,feels,fume,fuming,furious,fury,mad,nose,steam,triumph,unhappy,won,face with steam from nose,with,from,frustrated,proud,huffing	অখুশি,অসহ্যকর,জয়জয়কার,নাক থেকে স্টিম বেরোচ্ছে এমন মুখ,বিজয়ী,বিরক্ত,মুখ,রাগ,গর্ব		face with steam from nose
😡	smileys	anger,angry,enraged,face,feels,mad,maddening,pouting,rage,red,shade,unhappy,upset,enraged face,furious	ক্রুদ্ধ,ক্ষিপ্ত,গর্জন,বিস্ফারিত চোখ,বিস্ফুরিত মুখ,মুখ,রাগ,রাগে গজ গজ,লাল,ক্রোধ		enraged face
😠	smileys	anger,angry,blame,face,feels,frustrated,mad,maddening,rage,shade,unhappy,upset,angry face,annoyed,grumpy	ক্রুদ্ধ,ক্ষিপ্ত,মুখ,রাগ,রাগের মুখ,বিরক্ত		angry face
🤬	smileys	censor,cursing,cussing,face,mad,mouth,pissed,swearing,symbols,face with symbols on mouth,with,on,angry,furious	অভিশাপ,গালাগালি,গালি,ঠোটে চিহ্নযুক্ত মুখ,দিব্যি খাওয়া মুখ,বিরক্ত,রাগ		face with symbols on mouth
😈	smileys	demon,devil,evil,face,fairy,fairytale,fantasy,horns,purple,shade,smile,smiling,tale,smiling face with horns,with,smiling imp,mischief	কল্পনা,দুষ্টুমির হাসি,মুখ,রূপকথা,শিং,শিং এর সাথে হাসি মুখ,হাসি,শয়তান,দুষ্টু		smiling face with horns
👿	smileys	angry,demon,devil,evil,face,fairy,fairytale,fantasy,horns,imp,mischievous,purple,shade,tale,angry face with horns,with,angry devil	অল্প রেগে,কল্পনা,দুষ্টু,দৈত্য,পাজি,মুখ,রূপকথা,শয়তান,শয়তান,রাগ		angry face with horns
💀	smileys	body,dead,death,face,fairy,fairytale,i’m,lmao,monster,skull,tale,yolo,danger,dying	খুলি,দানব,মুখ,মৃত্যু,রূপকথা,শরীর,মরা		skull
☠️	smileys	bone,crossbones,dead,death,face,monster,skull,skull and crossbones,and,skull crossbones,danger,poison	আড়াআড়িভাবে থাকা দু‘টি হাড়,খুলি,দানব,বিপদ,মাথার খুলি এবং আড়াআড়িভাবে থাকা দু‘টি হাড়,মুখ,মৃত্যু,শরীর		skull and crossbones
💩	smileys	bs,comic,doo,dung,face,fml,monster,pile,poo,poop,smelly,smh,stink,stinks,stinky,turd,pile of poo,of,crap,funny	অধৈর্য্য প্রকাশ করা,উল্টান দিক,কমিক,গোবর,দানব,দুর্গন্ধ,পাইল অফ পো,মুখ,মল,মজা		pile of poo
🤡	smileys	clown,face,clown face,joker,circus,funny	জোকার,জোকারের মুখ,মুখ,ভাঁড়		clown face
👹	smileys	creature,devil,face,fairy,fairytale,fantasy,mask,monster,ogre,scary,tale,demon,japanese	কল্পনা,জাপানি,দানব,বুনো জীব,মুখ,রাক্ষস,রূপকথা,শয়তান,দৈত্য		ogre
👺	smileys	angry,creature,face,fairy,fairytale,fantasy,goblin,mask,mean,monster,tale,tengu	অপদেবতা,অসুর,কল্পনা,জাপানি,দানব,বুনো জীব,মুখ,রূপকথা,দৈত্য		goblin
👻	smileys	boo,creature,excited,face,fairy,fairytale,fantasy,ghost,halloween,haunting,monster,scary,silly,tale,spooky	কল্পনা,দানব,দুষ্টু ভূত,বুনো জীব,ভূত,মুখ,রূপকথা,হ্যালোইন		ghost
👽	smileys	alien,creature,extraterrestrial,face,fairy,fairytale,fantasy,monster,space,tale,ufo	অপার্থিব,উড়ন্ত চাকতি,এলিয়ান,কল্পনা,কাল্পনিক,জীব,দানব,ভীন গ্রহের প্রাণী,মহাকাশ,মুখ,রূপকথা,এলিয়েন,ভিনগ্রহ		alien
👾	smileys	alien,creature,extraterrestrial,face,fairy,fairytale,fantasy,game,gamer,games,monster,pixelated,space,tale,ufo,alien monster	আপার্থিব জীব,উড়ন্ত চাকতি,এলিয়ান মনস্টার,কল্পনা,খেলা,গেম,জীব,দানব,ভীন গ্রহের প্রাণী,মহাকাশ,মুখ,রূপকথা		alien monster
🤖	smileys	face,monster,robot,ai,machine,bot	দানব,মুখ,যন্ত্রমানব,রোবট,রোবোট,রোবোটের মুখ,যন্ত্র		robot
😺	smileys	animal,cat,face,grinning,mouth,open,smile,smiling,grinning cat,happy cat	খোলা,বিড়াল,বিড়ালের হাসি মুখ,মুখ,মুখ খোলা অবস্থায় বেড়ালের হাসি মুখ,হাসি,বিড়াল		grinning cat
😸	smileys	animal,cat,eye,eyes,face,grin,grinning,smile,smiling,grinning cat with smiling eyes,with,happy cat	চোখ,চোখে হাসির সাথে মুখে হাসি বিড়াল,দেঁতো হাসি,বিড়াল,মুখ,হাসি,বিড়াল		grinning cat with smiling eyes
😹	smileys	animal,cat,face,joy,laugh,laughing,lol,tear,tears,cat with tears of joy,with,of,laughing cat	আনন্দ,আনন্দের কান্না সহ বেড়ালের মুখ,কান্না,জীবজন্তু,বিড়াল,মুখ,হাসতে হাসতে চোখে জল,হাসি,বিড়াল,মজা		cat with tears of joy
😻	smileys	animal,cat,eye,face,heart,heart-eyes,love,smile,smiling,smiling cat with heart-eyes,with,heart eyes,love cat	চোখ,ঠোঁটে হাসি চোখে ভালবাসা নিয়ে বিড়াল,বিড়াল,ভালবাসা,মুখ,হার্ট,হার্ট আকারের চোখের সাথে বেড়ালের মুখ,হাসি,বিড়াল,ভালোবাসা		smiling cat with heart-eyes
😼	smileys	animal,cat,face,ironic,smile,wry,cat with wry smile,with,smirk,wry smile	বাঁকা হাসির সাথে বেড়ালের মুখ,বিকৃত,বিড়াল,মুখ,শ্লেষাত্মক,হাসি,বিড়াল		cat with wry smile
😽	smileys	animal,cat,closed,eye,eyes,face,kiss,kissing,kissing cat	কিস,চুমু,চুম্বন,চুম্বনরত বিড়ালের মুখ,চোখ,বন্ধ চোখ সহ চুম্বনরত বিড়ালের মুখ,বিড়াল,মুখ,বিড়াল		kissing cat
🙀	smileys	animal,cat,face,oh,surprised,weary,weary cat,shocked cat	অবাক,অবাক মুখে বিড়াল,ক্লান্ত বিড়ালের মুখ,পরিশ্রান্ত,বিড়াল,বিস্ময়সূচক মুখ গোল করে ওহঃ করা,বিস্মিত হওয়া,মুখ,বিড়াল		weary cat
😿	smileys	animal,cat,cry,crying,face,sad,tear,crying cat,sad cat	কান্না,দুঃখিত,বিড়াল,বিড়ালের মুখে কান্না,মুখ,বিড়াল		crying cat
😾	smileys	animal,cat,face,pouting,pouting cat,angry cat	বিড়াল,বিস্ফারিত চোখ,বিস্ফুরিত বিড়ালের মুখ,মুখ,বিড়াল,রাগ		pouting cat
🙈	smileys	embarrassed,evil,face,forbidden,forgot,gesture,hide,monkey,no,omg,prohibited,scared,secret,smh,watch,see-no-evil monkey,see-no-evil,see no evil,shy	অঙ্গভঙ্গি,কোনো খারাপ জিনিস দেখব না,জীবজন্তু,দেখতে পারব না,দেখা,না,নিষিদ্ধ,বাঁদর,বানর,ভুলেই গেছি,মুখ,হে ঈশ্বর,লুকানো,লজ্জা		see-no-evil monkey
🙉	smileys	animal,ears,evil,face,forbidden,gesture,hear,listen,monkey,no,not,prohibited,secret,shh,tmi,hear-no-evil monkey,hear-no-evil,hear no evil	অঙ্গভঙ্গি,কোনো খারাপ কিছু শুনব না,দুষ্ট,নিষিদ্ধ,পশুপাখি,বাঁদর,মুখ,শোনা,বানর		hear-no-evil monkey
🙊	smileys	animal,evil,face,forbidden,gesture,monkey,no,not,oops,prohibited,quiet,secret,speak,stealth,speak-no-evil monkey,speak-no-evil,speak no evil	অঙ্গভঙ্গি,কোনো খারাপ কথা বলব না,খারাপ কথা বলব না,দুষ্ট,না,নিষিদ্ধ,প্রাণী,বাঁদর,বানর,বোবার শত্রু নেই,মুখ,গোপন		speak-no-evil monkey
💌	smileys	heart,letter,love,mail,romance,valentine,love letter	চিঠি,প্রেমের চিঠি,ভালবাসা,মেল,রোমান্স,হৃদয়,প্রেমপত্র		love letter
💘	smileys	143,adorbs,arrow,cupid,date,emotion,heart,ily,love,romance,valentine,heart with arrow,with,heart arrow,crush	কিউপিড,তীর,তীর বিদ্ধ হার্ট,প্রেমে পড়া,হৃদয়,ভালোবাসা,প্রেম		heart with arrow
💝	smileys	143,anniversary,emotion,heart,ily,kisses,ribbon,valentine,xoxo,heart with ribbon,with,heart ribbon,gift,love	১৪৩,কিস,চিহ্ন,চুমু,ফিতা,বস্তু,ভ্যালেন্টাইন,রিবন বাঁধা হার্ট,হার্ট,ভালোবাসা,উপহার		heart with ribbon
💖	smileys	143,emotion,excited,good,heart,ily,kisses,morning,night,sparkle,sparkling,xoxo,sparkling heart,love,affection	উত্তেজিত,কিস,জ্বলজ্বলে হার্ট,ঝকমক করা,হৃদয়,ভালোবাসা,ঝলমল		sparkling heart
💗	smileys	143,emotion,excited,growing,heart,heartpulse,ily,kisses,muah,nervous,pulse,xoxo,growing heart,love,warm	১৪৩,উত্তেজিত,কিস,ক্রমবর্ধমান,চুমু,বর্ধনশীল হার্ট,স্নায়ুবৈকল্য,হৃদয়,হৃদয় ধ্বনি,ভালোবাসা		growing heart
💓	smileys	143,beating,cardio,emotion,heart,heartbeat,ily,love,pulsating,pulse,beating heart	স্পন্দন,স্পন্দনশীল,স্পন্দিত,হৃদয়,হৃদস্পন্দন,স্পন্দিত হৃদয়,ভালোবাসা		beating heart
